id,name,"An Open Source 
AutoML Benchmark",Best,"Auto-PyTorch Tabular: 
Multi-Fidelity MetaLearning 
for Efficient and Robust AutoDL",Best,"A Comparison of AutoML 
Tools for Machine Learning, 
Deep Learning and XGBoost",Best,"Auto-Sklearn 2.0: 
Hands-free AutoML 
via Meta-Learning",Best,"Benchmark and Survey 
of Automated Machine 
Learning Frameworks",,"FLAML: A Fast and 
Lightweight AutoML 
Library",Best,Count,Best All
3,kr-vs-kp,TRUE,H2O AutoML,FALSE,,FALSE,,TRUE,auto-sklearn,TRUE,TPOT,TRUE,FLAML,4,FLAML
8,liver-disorders,FALSE,,FALSE,,TRUE,auto-sklearn,FALSE,,FALSE,,FALSE,,1,auto-sklearn
12,mfeat-factors,TRUE,auto-sklearn,TRUE,Auto-PyTorch,FALSE,,TRUE,auto-sklearn,TRUE,ATM,TRUE,FLAML,5,FLAML
15,breast-w,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
23,cmc,FALSE,,FALSE,,TRUE,auto-sklearn,FALSE,,TRUE,ATM,FALSE,,2,ATM
24,mushroom,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TPOT,FALSE,,1,TPOT
29,credit-approval,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
31,credit-g,TRUE,H2O AutoML,FALSE,,TRUE,H2O AutoML,TRUE,auto-sklearn,TRUE,ATM,TRUE,N/A,5,ATM
36,segment,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
37,diabetes,FALSE,,FALSE,,TRUE,rminer AutoML,FALSE,,FALSE,,FALSE,,1,rminer AutoML
38,sick,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,TPOT,FALSE,,1,TPOT
42,soybean,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
54,vehicle,TRUE,H2O AutoML,FALSE,,TRUE,AutoGluon,TRUE,H2O AutoML,TRUE,H2O AutoML,TRUE,N/A,5,H2O AutoML
179,adult,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
188,eucalyptus,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,H2O AutoML,FALSE,,1,H2O AutoML
201,pol,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
210,cloud,FALSE,,FALSE,,TRUE,TransmogrifAI,FALSE,,FALSE,,FALSE,,1,TransmogrifAI
215,2dplanes,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
218,house_8L,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
344,mv,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
354,poker,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
451,irish,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
469,analcatdata_dmft,FALSE,,FALSE,,TRUE,TransmogrifAI,FALSE,,TRUE,ATM,FALSE,,2,ATM
470,profb,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
511,plasma_retinol,FALSE,,FALSE,,TRUE,AutoGluon,FALSE,,FALSE,,FALSE,,1,AutoGluon
537,houses,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
564,fried,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
574,house_16H,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,FLAML,1,FLAML
798,cholesterol,FALSE,,FALSE,,TRUE,TransmogrifAI,FALSE,,FALSE,,FALSE,,1,TransmogrifAI
962,mfeat-morphological,FALSE,,FALSE,,TRUE,AutoGluon,FALSE,,FALSE,,FALSE,,1,AutoGluon
1053,jm1,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,ATM,FALSE,,1,ATM
1067,kc1,TRUE,TPOT,FALSE,,FALSE,,TRUE,TPOT,TRUE,ATM,TRUE,FLAML,4,ATM
1111,KDDCup09_appetency,TRUE,auto-sklearn,FALSE,,FALSE,,TRUE,auto-sklearn,TRUE,auto-sklearn,TRUE,FLAML,4,FLAML
1112,KDDCup09_churn,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,auto-sklearn,FALSE,,1,auto-sklearn
1114,KDDCup09_upselling,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,auto-sklearn,FALSE,,1,auto-sklearn
1169,airlines,TRUE,H2O AutoML,FALSE,,FALSE,,TRUE,H2O AutoML,TRUE,TPOT,TRUE,FLAML,4,FLAML
